baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C17G1.2	273.044740527552	-5.04726001850969	0.36571379211484	-12.4339308950147	1.71013490677592e-35	2.29963575833628e-33
OMA-1	3060.62773584478	-2.56249285593813	0.166356969796606	-12.3979948568419	2.67944780848713e-35	3.57715920734501e-33
COL-178	69088.8252900649	-6.24935581881903	0.465577522361323	-12.3488689695743	4.9401049789183e-35	6.5481091495562e-33
C27A7.6	614.94534970663	-3.18368996469821	0.217364222587773	-12.3465119178687	5.08695383647849e-35	6.69493633642066e-33
C08F11.11	6726.37113509408	-5.76397582317806	0.426374419299447	-12.3458997184376	5.12579936728217e-35	6.69855344075037e-33
SPE-46	296.147861989331	-2.5476410254576	0.166192542528822	-12.3208959577864	6.99131956244963e-35	9.07258161680964e-33
W04A8.4	373.720869498479	2.80580643815639	0.187881922372338	12.2726359675351	1.27048710056836e-34	1.6372520225866e-32
CLEC-218	923.550783717193	-3.75820087286492	0.266209176006472	-12.2392508092422	1.91794799409532e-34	2.45457661561564e-32
F55G11.4	4543.70023267614	3.6853398799999	0.260402827027712	12.232355218098	2.08795522577607e-34	2.65384829621414e-32
PUF-7	2104.3987521318	-3.47033075687087	0.242890127720718	-12.2291127463453	2.17299133279653e-34	2.74314286821124e-32
IFET-1	7267.00971479823	-1.54962020976112	0.0858752144900593	-12.2226211135999	2.35371433379612e-34	2.95120789812531e-32
ZIF-1	1123.11941181998	-2.28329997114433	0.146561262620476	-12.1676078607635	4.62436905027064e-34	5.75935680979009e-32
CYB-3	5868.43992969383	-2.46425388075985	0.161671546145984	-12.1496572995361	5.76065539838042e-34	7.12669881518303e-32
MEX-3	3120.95545908033	-2.13817246074815	0.134904428737277	-12.1432074252985	6.23337710710008e-34	7.66044893883815e-32
C37C3.9	1161.94497435026	-2.02442272296483	0.125794035222016	-12.1184022777738	8.43882075114798e-34	1.03025787288851e-31
COL-140	101819.85096429	-5.70895440910908	0.432343694738205	-12.0481794287835	1.98281026482982e-33	2.4049026198985e-31
DCT-3	285.923327803142	4.15095653408193	0.304629124310177	11.9849227888154	4.26241303543362e-33	5.13620770769751e-31
C14B1.2	1053.56396514105	-2.21572396291672	0.14323463122382	-11.9784157522332	4.61050026244751e-33	5.51980989485409e-31
W04A4.2	368.858614519255	-6.16944199263874	0.475968265620648	-11.9113865401215	1.0324597873645e-32	1.22816386372584e-30
F42A8.1	1970.80643027058	-3.17036693161492	0.224522709793973	-11.8935270916038	1.27889372311638e-32	1.51161979744399e-30
D1081.7	3430.51880008192	-1.749269102168	0.105453297234629	-11.8466575719149	2.23946128330844e-32	2.63023310344017e-30
K04C1.5	446.866729536666	-5.69627185744745	0.438893790350178	-11.8394745418966	2.43976713842709e-32	2.8474691061504e-30
C07E3.3	916.600901761342	2.27165317627792	0.149879944974957	11.8204818968538	3.05924599898004e-32	3.54815175019204e-30
NSPC-2	1136.78946583805	-4.03111757596498	0.299645432244724	-11.7843197191842	4.70201186567469e-32	5.41957976343635e-30
R09B3.2	4373.6099975388	-1.91183634600013	0.119876911006358	-11.7773834356247	5.10533658952114e-32	5.84813154887307e-30
