baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAF-10	179.853923226267	4.11519458006048	0.242310552810934	14.919674517359	2.45467803753362e-50	3.93336797270574e-48
D1086.10	5071.77151649984	-4.03550576056734	0.237143756994917	-14.9087026593878	2.89319422812402e-50	4.59804449910628e-48
Y57G11B.5	3427.25773302532	-3.86755601778519	0.227207681048862	-14.8214884384168	1.06400375491626e-49	1.67723323610336e-47
LBP-1	3265.75376605676	1.59152135623109	0.073825943541843	14.7850647599571	1.82881325536338e-49	2.85958550066456e-47
SPN-4	5167.80404865039	-1.96611237678951	0.0994824821557863	-14.7373924033543	3.70828830895592e-49	5.75200016178771e-47
CLP-4	2498.42232744483	1.55935893982448	0.072236506334116	14.665146386297	1.07784457845793e-48	1.65859750251753e-46
THN-2	9100.57369039569	3.68224543417761	0.217955304077878	14.600449608882	2.78999319352524e-48	4.25946283694967e-46
W08A12.2	578.085513910074	1.86317427983867	0.0934337351802904	14.5897440277677	3.26420069903059e-48	4.94449901199251e-46
EOL-1	1195.52668213841	4.9652745212793	0.306169757688427	14.584309550989	3.53480068873251e-48	5.31288763983215e-46
CHE-3	375.976008708356	4.47336737292863	0.272522186145401	14.5799776125702	3.76640213271546e-48	5.61744391932462e-46
LSL-1	1117.44843924888	-1.52416731581632	0.0705881100371287	-14.5090627200192	1.06161238865283e-47	1.57126737431983e-45
TTR-6	5008.42925582971	2.08699126086851	0.109560220043167	14.4851047236235	1.50493122047191e-47	2.21053874497954e-45
F58H1.7	478.084015564531	2.08350014023913	0.109460958407196	14.4663463876178	1.97698209066339e-47	2.88208313953929e-45
SKPO-1	1862.41886571906	-4.24009614343873	0.258772512821737	-14.4532203310759	2.3923369696561e-47	3.46156876900464e-45
C17G1.2	273.044740527552	-3.64281737613554	0.217517381072754	-14.4485804335992	2.55905864028097e-47	3.67537688714132e-45
R03D7.2	460.761838914108	-2.79531149883745	0.159185082547241	-14.4191369072304	3.92216554224255e-47	5.59168144842212e-45
E04F6.9	3661.4384535571	2.72908081694073	0.154715255923442	14.4076342286745	4.63310387815158e-47	6.55702562726139e-45
T22B7.3	1201.20323964332	3.56786396694773	0.213268957533127	14.3849531710268	6.43216268716133e-47	9.03718857546167e-45
ACR-17	193.529157510051	3.23528775795846	0.190220598697118	14.3795560349054	6.95392000924899e-47	9.69996798987976e-45
ZK177.9	157.567305482456	5.48437787606125	0.347047125066426	14.3622508761806	8.92797037668173e-47	1.23646012595344e-44
HIS-7	667.065134053148	5.91314557122931	0.377227739894425	14.3498078183335	1.06832866513508e-46	1.46906556654638e-44
NMTN-1	273.56034229937	2.5830289891054	0.145493728734013	14.31696752314	1.71442459243104e-46	2.34091397342574e-44
F09E5.14	349.275406907646	2.45916047942746	0.137171872109275	14.2825234452347	2.81230596498511e-46	3.81313289196477e-44
H09G03.1	169.3761654243	3.06000788476356	0.179719626337612	14.2444536355448	4.85328839169495e-46	6.5347505990676e-44
Y71G12B.5	96.2249661013963	3.94256456532762	0.241857249139393	14.2338696796453	5.64685805898285e-46	7.55082282107714e-44
T05A8.5	129.094874975651	4.98952467076321	0.315486444502453	14.2304835881096	5.92704853986652e-46	7.87120165338849e-44
ZC443.3	949.269600166055	3.05373061927708	0.179528699283044	14.2246372277831	6.44376355185584e-46	8.49919261951924e-44
ELPC-2	1028.40473061854	-1.75994150720492	0.0886153713302924	-14.2180920566116	7.07558290995265e-46	9.26949169196432e-44
W05H9.1	6423.57712003413	2.32071825304556	0.12807260973281	14.2162969650108	7.25939171272779e-46	9.4464661689986e-44
MEC-6	152.632123835468	2.8076377822208	0.162502004933354	14.20067268196	9.07372104783385e-46	1.172869182643e-43
GRL-22	235.96169259767	3.92501056275321	0.242112170179266	14.1463791771279	1.96623619778511e-45	2.52472540654672e-43
